id	uri	siglaTipo	codTipo	numero	ano	ementa	ementa_simplificada	apreciacao	e_urgencia	e_projeto_resoluç�
1195524	https://dadosabertos.camara.leg.br/api/v2/proposicoes/1195524	REQ	392	1231	2015	"Requeremos nos termos do artigo 155 do Regimento Interno da Câmara dos Deputados, urgência para apreciação do Projeto de Lei nº 3490/2012, do Deputado Ricardo Izar, que dispõe \sobre a proibição da eliminação de cães e gatos pelos órgãos de controle de zoonoses, canis públicos e estabelecimentos oficiais congêneres, e da outra""."""	"requeremos nos termos do artigo 155 do regimento interno da câmara dos deputados, urgência para apreciação do projeto de lei n 3490/2012, do deputado ricardo izar, que dispõe \sobre a proibição da eliminação de cães e gatos pelos órgãos de controle de zoonoses, canis públicos e estabelecimentos oficiais congêneres, e da outras""."""	projeto de lei n 3490/2012	TRUE	FALSE
2265963	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2265963	REQ	392	2843	2020	Requer, nos termos do art. 155, que seja incluído automaticamente na Ordem do Dia o Projeto de Lei nº 3489/202	requer, nos termos do art. 155, que seja incluído automaticamente na ordem do dia o projeto de lei n 3489/2020	projeto de lei n 3489/2020	FALSE	FALSE
2279387	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2279387	REQ	392	868	2021	Com base no art. 155 do Regimento Interno, requeremos regime de urgência para a apreciação do Projeto de Lei nº 3430/2019, que altera dispositivos da Lei nº 12.651, de 25 de maio de 2012, para disciplinar a intervenção e implantação de instalações necessárias à recuperação e proteç	com base no art. 155 do regimento interno, requeremos regime de urgência para a apreciação do projeto de lei n 3430/2019, que altera dispositivos da lei n 12.651, de 25 de maio de 2012, para disciplinar a intervenção e implantação de instalações necessárias à recuperação e proteçã	projeto de lei n 3430/2019	TRUE	FALSE
2302036	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2302036	REQ	392	1969	2021	Requer nos termos do art. 155 do Regimento Interno da Câmara dos Deputados urgência na apreciação do Projeto de Lei Nº 3418/	requer nos termos do art. 155 do regimento interno da câmara dos deputados urgência na apreciação do projeto de lei n 3418/2	projeto de lei n 3418/2021	TRUE	FALSE
2283940	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2283940	REQ	391	1126	2021	Requer urgência ao Projeto de Lei nº 3408/2020, que “Institui a Lei Geral da Polícia Penal e dá outras providê	requer urgência ao projeto de lei n 3408/2020, que “institui a lei geral da polícia penal e dá outras providên	projeto de lei n 3408/2020	TRUE	FALSE
2234568	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2234568	REQ	392	3251	2019	"Requeremos, nos termos artigo 155 do Regimento Interno da Câmara dos Deputados, URGÊNCIA na tramitação do Projeto de Lei n° 3401/2008 de autoria do nobre Deputado Bruno Araújo, que \Disciplina o procedimento de declaração judicial de desconsideração da personalidade jurfdica e dá outras pro"""""	"requeremos, nos termos artigo 155 do regimento interno da câmara dos deputados, urgência na tramitação do projeto de lei n 3401/2008 de autoria do nobre deputado bruno araújo, que \disciplina o procedimento de declaração judicial de desconsideração da personalidade jurfdica e dá outras prov"""""	projeto de lei n 3401/2008	TRUE	FALSE
2395394	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2395394	REQ	392	3509	2023	Requer-se, nos termos do art. 117, inciso XV, c/c art. 155, do Regimento Interno da Câmara dos Deputados, o regime de tramitação urgente para apreciação do Projeto de Lei nº 340 de	requer-se, nos termos do art. 117, inciso xv, c/c art. 155, do regimento interno da câmara dos deputados, o regime de tramitação urgente para apreciação do projeto de lei n 340 de 	projeto de lei n 340 de 2023	FALSE	FALSE
2189545	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2189545	REQ	392	9363	2018	Requer Urgência na apreciação do Projeto de Lei nº 3391, de 2015, que concede anistia ao Delegado de Polícia Federal Protógenes Pinheiro de Queiroz que coordenou a Operação Policial Sa	requer urgência na apreciação do projeto de lei n 3391, de 2015, que concede anistia ao delegado de polícia federal protógenes pinheiro de queiroz que coordenou a operação policial sat	projeto de lei n 3391, de 2015	TRUE	FALSE
2197333	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2197333	REQ	392	1127	2019	Requer Urgência Urgentíssima para o Projeto de Lei nº 3357, de 2015, Que dispõe sobre o crime de invadir dispositivo informático, sem a devida autorização, modificando conteúdo de sítio da 	requer urgência urgentíssima para o projeto de lei n 3357, de 2015, que dispõe sobre o crime de invadir dispositivo informático, sem a devida autorização, modificando conteúdo de sítio da i	projeto de lei n 3357, de 2015	TRUE	FALSE
2257979	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2257979	REQ	392	1899	2020	Requer, nos termos do artigo 155 do Regimento Interno da Câmara dos Deputados, que seja incluído automaticamente na Ordem do Dia o Projeto de Lei nº 3332/2020, que autoriza as instituições financeiras a disponibilizarem linha de crédito emergencial, observadas as mesmas condições previstas na Lei nº 13.999, de 18 de maio de 2020 (“Pronampe”), para atendimento aos profissionais autônomos que realizam o transporte de alunos para estabelecimentos escolares e universitários durante o estado de calamidade pública relacion	requer, nos termos do artigo 155 do regimento interno da câmara dos deputados, que seja incluído automaticamente na ordem do dia o projeto de lei n 3332/2020, que autoriza as instituições financeiras a disponibilizarem linha de crédito emergencial, observadas as mesmas condições previstas na lei n 13.999, de 18 de maio de 2020 (“pronampe”), para atendimento aos profissionais autônomos que realizam o transporte de alunos para estabelecimentos escolares e universitários durante o estado de calamidade pública relacionad	projeto de lei n 3332/2020	FALSE	FALSE
